key,name,iata-code,operational-scope,city,country,website,email-address,contact-phone-number
airport-18,"Lorem ipsum dolor sit ame","BBA","INTERNATIONAL","L","Lorem ipsum dolor sit ame","http://lorem.com","lorem@acme.com","5462854987"
airport-19,"Lorem ipsum dolor sit ame","BBB","INTERNATIONAL","Lo","Lorem ipsum dolor sit ame","http://lorem.com","lorem@acme.com","5462854987"
airport-20,"Lorem ipsum dolor sit ame","BBC","INTERNATIONAL","Lorem ipsum dolor sit amet, consectetur adipiscin","Lorem ipsum dolor sit ame","http://lorem.com","lorem@acme.com","5462854987"
airport-21,"Lorem ipsum dolor sit ame","BBD","INTERNATIONAL","Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit ame","http://lorem.com","lorem@acme.com","5462854987"
airport-22,"Lorem ipsum dolor sit ame","BBE","INTERNATIONAL","โลเร็ม อิปซัม","Lorem ipsum dolor sit ame","http://lorem.com","lorem@acme.com","5462854987"
airport-23,"Lorem ipsum dolor sit ame","BBF","INTERNATIONAL","لوريم إيبسوم","Lorem ipsum dolor sit ame","http://lorem.com","lorem@acme.com","5462854987"
airport-24,"Lorem ipsum dolor sit ame","BBG","INTERNATIONAL","洛伦·伊普森","Lorem ipsum dolor sit ame","http://lorem.com","lorem@acme.com","5462854987"
airport-25,"Lorem ipsum dolor sit ame","BBH","INTERNATIONAL","<marquee>Hacked</marquee>","Lorem ipsum dolor sit ame","http://lorem.com","lorem@acme.com","5462854987"
airport-26,"Lorem ipsum dolor sit ame","BBI","INTERNATIONAL","<script>alert(‘Hacked!’);</script>","Lorem ipsum dolor sit ame","http://lorem.com","lorem@acme.com","5462854987"
airport-27,"Lorem ipsum dolor sit ame","BBJ","INTERNATIONAL","' or 'A' = 'A ","Lorem ipsum dolor sit ame","http://lorem.com","lorem@acme.com","5462854987"
#coutry - standard variations
airport-28,"Lorem ipsum dolor sit ame","CCA","INTERNATIONAL","Lorem ipsum dolor sit ame","L","http://lorem.com","lorem@acme.com","5462854987"
airport-29,"Lorem ipsum dolor sit ame","CCB","INTERNATIONAL","Lorem ipsum dolor sit ame","Lo","http://lorem.com","lorem@acme.com","5462854987"
airport-30,"Lorem ipsum dolor sit ame","CCC","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit amet, consectetur adipiscin","http://lorem.com","lorem@acme.com","5462854987"
airport-31,"Lorem ipsum dolor sit ame","CCD","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit amet, consectetur adipiscing","http://lorem.com","lorem@acme.com","5462854987"
airport-32,"Lorem ipsum dolor sit ame","CCE","INTERNATIONAL","Lorem ipsum dolor sit ame","โลเร็ม อิปซัม","http://lorem.com","lorem@acme.com","5462854987"
airport-33,"Lorem ipsum dolor sit ame","CCF","INTERNATIONAL","Lorem ipsum dolor sit ame","لوريم إيبسوم","http://lorem.com","lorem@acme.com","5462854987"
airport-34,"Lorem ipsum dolor sit ame","CCG","INTERNATIONAL","Lorem ipsum dolor sit ame","<marquee>Hacked</marquee>","http://lorem.com","lorem@acme.com","5462854987"
airport-35,"Lorem ipsum dolor sit ame","CCH","INTERNATIONAL","Lorem ipsum dolor sit ame","洛伦·伊普森","http://lorem.com","lorem@acme.com","5462854987"
airport-36,"Lorem ipsum dolor sit ame","CCI","INTERNATIONAL","Lorem ipsum dolor sit ame","<script>alert(‘Hacked!’);</script>","http://lorem.com","lorem@acme.com","5462854987"
airport-37,"Lorem ipsum dolor sit ame","CCJ","INTERNATIONAL","Lorem ipsum dolor sit ame","' or 'A' = 'A ","http://lorem.com","lorem@acme.com","5462854987"
#webSite - standard variations
airport-38,"Lorem ipsum dolor sit ame","DDA","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://example.org/","lorem@acme.com","5462854987"
airport-39,"Lorem ipsum dolor sit ame","DDB","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://example.org/a/b?","lorem@acme.com","5462854987"
airport-40,"Lorem ipsum dolor sit ame","DDC","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://www.lorem.com/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/","lorem@acme.com","5462854987"
airport-41,"Lorem ipsum dolor sit ame","DDD","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://www.lorem.com/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X","lorem@acme.com","5462854987"
airport-42,"Lorem ipsum dolor sit ame","DDE","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","https://www.lorem.com","lorem@acme.com","5462854987"
airport-43,"Lorem ipsum dolor sit ame","DDF","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://www.lorem.com","lorem@acme.com","5462854987"
airport-44,"Lorem ipsum dolor sit ame","DDG","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://www.lorem.com/dolor/sit.html","lorem@acme.com","5462854987"
airport-45,"Lorem ipsum dolor sit ame","DDH","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://www.lorem.com/dolor/sit.html#dolor","lorem@acme.com","5462854987"
airport-46,"Lorem ipsum dolor sit ame","DDI","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://example.org?a=1&b=2","lorem@acme.com","5462854987"
airport-47,"Lorem ipsum dolor sit ame","DDJ","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://example.org?","lorem@acme.com","5462854987"
airport-48,"Lorem ipsum dolor sit ame","DDK","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://example.org?a","lorem@acme.com","5462854987"
airport-49,"Lorem ipsum dolor sit ame","DDL","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://example.org?a&b","lorem@acme.com","5462854987"
airport-50,"Lorem ipsum dolor sit ame","DDM","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://example.org/","lorem@acme.com","5462854987"
airport-51,"Lorem ipsum dolor sit ame","DDN","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://example.org/a","lorem@acme.com","5462854987"
airport-52,"Lorem ipsum dolor sit ame","DDS","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://example.org/a/b","lorem@acme.com","5462854987"
airport-53,"Lorem ipsum dolor sit ame","DDP","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://example.org/a/b?a&b","lorem@acme.com","5462854987"
airport-54,"Lorem ipsum dolor sit ame","DDO","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame",,"lorem@acme.com","5462854987"
# email - standard variations
airport-55,"Lorem ipsum dolor sit ame","EEA","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","acmepassword@lorem-ipsum.org","5462854987"
airport-56,"Lorem ipsum dolor sit ame","EEB","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","a@b.e","5462854987"
airport-57,"Lorem ipsum dolor sit ame","EEC","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","a@b.es","5462854987"
airport-58,"Lorem ipsum dolor sit ame","EEE","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu","5462854987"
airport-59,"Lorem ipsum dolor sit ame","EEF","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org","5462854987"
# phoneNumber
airport-60,"Lorem ipsum dolor sit ame","FFA","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","lorem@acme.com","000000"
airport-61,"Lorem ipsum dolor sit ame","FFB","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","lorem@acme.com","000001"
airport-62,"Lorem ipsum dolor sit ame","FFC","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","lorem@acme.com","640544"
airport-63,"Lorem ipsum dolor sit ame","FFD","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","lorem@acme.com","7213448"
airport-64,"Lorem ipsum dolor sit ame","FFL","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","lorem@acme.com","140389609597478"
airport-65,"Lorem ipsum dolor sit ame","FFM","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","lorem@acme.com","999999999999998"
airport-66,"Lorem ipsum dolor sit ame","FFN","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","lorem@acme.com","999999999999999"
airport-67,"Lorem ipsum dolor sit ame","FFO","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com","lorem@acme.com","+44539394964887"
